,Out Date,Return Date,Out Duration,Return Duration,Out Stops,Return Stops,Out Time,Return Time,Company names,Price,timestamp
0,14 juli,25 juli,4t. 05min. ,11t. 25min. ,direkte ,1 stop GDN ,20:35–01:40+1,21:05–07:30+1,"Wizz Air, Ryanair","
2.078 kr. ",20220503-2156
1,14 juli,25 juli,4t. 05min. ,6t. 20min. ,direkte ,1 stop ATH ,20:35–01:40+1,05:15–10:35,"Wizz Air, Aegean Airlines","
3.002 kr. ",20220503-2156
2,14 juli,25 juli,7t. 30min. ,11t. 25min. ,1 stop BUD ,1 stop GDN ,07:00–15:30,21:05–07:30+1,Flere flyselskaber,"
1.961 kr. ",20220503-2156
3,14 juli,25 juli,7t. 40min. ,6t. 15min. ,1 stop MUC ,1 stop VIE ,06:10–14:50,17:25–22:40,"Lufthansa, Austrian Airlines","
3.002 kr. ",20220503-2156
4,14 juli,25 juli,5t. 45min. ,6t. 15min. ,1 stop VIE ,1 stop VIE ,09:50–16:35,17:25–22:40,Austrian Airlines,"
3.144 kr. ",20220503-2156
5,14 juli,25 juli,6t. 05min. ,6t. 15min. ,1 stop VIE ,1 stop VIE ,17:35–00:40+1,17:25–22:40,Austrian Airlines,"
3.199 kr. ",20220503-2156
6,14 juli,25 juli,6t. 05min. ,6t. 15min. ,1 stop FRA ,1 stop VIE ,19:15–02:20+1,17:25–22:40,"Lufthansa, Austrian Airlines","
3.347 kr. ",20220503-2156
7,14 juli,25 juli,5t. 45min. ,7t. 05min. ,1 stop VIE ,1 stop MUC ,09:50–16:35,15:50–21:55,"Austrian Airlines, Lufthansa","
3.402 kr. ",20220503-2156
8,14 juli,25 juli,5t. 45min. ,6t. 20min. ,1 stop VIE ,1 stop FRA ,09:50–16:35,17:10–22:30,"Austrian Airlines, Lufthansa","
3.570 kr. ",20220503-2156
9,14 juli,25 juli,4t. 05min. ,6t. 15min. ,direkte ,1 stop VIE ,20:35–01:40+1,17:25–22:40,"Wizz Air, Austrian Airlines","
3.619 kr. ",20220503-2156
10,14 juli,25 juli,4t. 05min. ,10t. 30min. ,direkte ,1 stop BEG ,20:35–01:40+1,10:45–20:15,"Wizz Air, Air Serbia","
3.085 kr. ",20220503-2156
11,14 juli,25 juli,6t. 50min. ,6t. 20min. ,1 stop ATH ,1 stop ATH ,17:30–01:20+1,05:15–10:35,Aegean Airlines,"
3.093 kr. ",20220503-2156
12,14 juli,25 juli,6t. 05min. ,7t. 05min. ,1 stop VIE ,1 stop MUC ,17:35–00:40+1,15:50–21:55,"Austrian Airlines, Lufthansa","
3.498 kr. ",20220503-2156
13,14 juli,25 juli,6t. 05min. ,6t. 20min. ,1 stop VIE ,1 stop FRA ,17:35–00:40+1,17:10–22:30,"Austrian Airlines, Lufthansa","
3.643 kr. ",20220503-2156
14,14 juli,25 juli,6t. 05min. ,7t. 05min. ,1 stop FRA ,1 stop MUC ,19:15–02:20+1,15:50–21:55,Lufthansa,"
3.646 kr. ",20220503-2156
15,14 juli,25 juli,6t. 05min. ,6t. 20min. ,1 stop FRA ,1 stop FRA ,19:15–02:20+1,17:10–22:30,Lufthansa,"
3.791 kr. ",20220503-2156
16,14 juli,25 juli,4t. 05min. ,11t. 25min. ,direkte ,1 stop GDN ,20:35–01:40+1,21:05–07:30+1,"Wizz Air, Ryanair","
2.026 kr. ",20220503-2156
17,14 juli,25 juli,6t. 50min. ,10t. 30min. ,1 stop ATH ,1 stop BEG ,17:30–01:20+1,10:45–20:15,"Aegean Airlines, Air Serbia","
3.028 kr. ",20220503-2156
18,14 juli,25 juli,8t. 30min. ,6t. 15min. ,1 stop VIE ,1 stop VIE ,07:05–16:35,17:25–22:40,Austrian Airlines,"
3.167 kr. ",20220503-2156
19,14 juli,25 juli,7t. 40min. ,7t. 05min. ,1 stop MUC ,1 stop MUC ,06:10–14:50,15:50–21:55,Lufthansa,"
3.301 kr. ",20220503-2156
20,14 juli,25 juli,10t. 25min. ,6t. 15min. ,1 stop FRA ,1 stop VIE ,14:55–02:20+1,17:25–22:40,"Lufthansa, Austrian Airlines","
3.347 kr. ",20220503-2156
21,14 juli,25 juli,8t. 30min. ,7t. 05min. ,1 stop VIE ,1 stop MUC ,07:05–16:35,15:50–21:55,"Austrian Airlines, Lufthansa","
3.425 kr. ",20220503-2156
22,14 juli,25 juli,7t. 40min. ,6t. 20min. ,1 stop MUC ,1 stop FRA ,06:10–14:50,17:10–22:30,Lufthansa,"
3.446 kr. ",20220503-2156
23,14 juli,25 juli,8t. 30min. ,6t. 20min. ,1 stop VIE ,1 stop FRA ,07:05–16:35,17:10–22:30,"Austrian Airlines, Lufthansa","
3.593 kr. ",20220503-2156
24,14 juli,25 juli,7t. 05min. ,6t. 15min. ,1 stop FRA ,1 stop VIE ,18:15–02:20+1,17:25–22:40,"Lufthansa, Austrian Airlines","
3.829 kr. ",20220503-2156
25,14 juli,25 juli,4t. 05min. ,6t. 45min. ,direkte ,1 stop ATH ,20:35–01:40+1,11:50–17:35,"Wizz Air, SAS","
3.877 kr. ",20220503-2156
26,14 juli,25 juli,7t. 35min. ,6t. 20min. ,1 stop SKG ,1 stop ATH ,07:00–15:35,05:15–10:35,Aegean Airlines,"
4.028 kr. ",20220503-2156
27,14 juli,25 juli,7t. 05min. ,6t. 20min. ,1 stop FRA ,1 stop FRA ,18:15–02:20+1,17:10–22:30,Lufthansa,"
4.503 kr. ",20220503-2156
28,14 juli,25 juli,6t. 50min. ,11t. 25min. ,1 stop ATH ,1 stop GDN ,17:30–01:20+1,21:05–07:30+1,Flere flyselskaber,"
2.121 kr. ",20220503-2156
29,14 juli,25 juli,4t. 05min. ,15t. 40min. ,direkte ,1 stop ATH ,20:35–01:40+1,21:05–11:45+1,"Wizz Air, Aegean Airlines","
2.467 kr. ",20220503-2156
30,14 juli,25 juli,4t. 05min. ,11t. 05min. ,direkte ,1 stop GDN ,20:35–01:40+1,21:05–07:10+1,"Wizz Air, SAS","
2.498 kr. ",20220503-2156
